FIPS,name,count
19,"CD101, Manhattan",10
29,"CD102, Manhattan",6
30,"CD103, Manhattan",11
21,"CD104, Manhattan",26
13,"CD105, Manhattan",21
31,"CD106, Manhattan",10
20,"CD107, Manhattan",2
42,"CD108, Manhattan",9
60,"CD109, Manhattan",2
70,"CD110, Manhattan",7
48,"CD111, Manhattan",17
71,"CD112, Manhattan",5
18,"CD164, Manhattan",0
41,"CD201, Bronx",12
44,"CD202, Bronx",5
53,"CD203, Bronx",5
32,"CD204, Bronx",24
62,"CD205, Bronx",4
63,"CD206, Bronx",4
36,"CD207, Bronx",4
24,"CD208, Bronx",5
45,"CD209, Bronx",23
59,"CD210, Bronx",35
50,"CD211, Bronx",11
58,"CD212, Bronx",13
33,"CD226, Bronx",0
51,"CD227, Bronx",0
52,"CD228, Bronx",0
2,"CD301, Brooklyn",43
6,"CD302, Brooklyn",6
14,"CD303, Brooklyn",14
22,"CD304, Brooklyn",13
64,"CD305, Brooklyn",19
54,"CD306, Brooklyn",12
9,"CD307, Brooklyn",11
55,"CD308, Brooklyn",7
16,"CD309, Brooklyn",11
10,"CD310, Brooklyn",40
1,"CD311, Brooklyn",39
11,"CD312, Brooklyn",81
7,"CD313, Brooklyn",17
5,"CD314, Brooklyn",27
8,"CD315, Brooklyn",75
15,"CD316, Brooklyn",4
17,"CD317, Brooklyn",8
39,"CD318, Brooklyn",22
56,"CD355, Brooklyn",1
40,"CD356, Brooklyn",0
43,"CD401, Queens",45
26,"CD402, Queens",24
68,"CD403, Queens",34
27,"CD404, Queens",49
28,"CD405, Queens",34
37,"CD406, Queens",11
49,"CD407, Queens",106
46,"CD408, Queens",34
65,"CD409, Queens",24
61,"CD410, Queens",39
47,"CD411, Queens",46
3,"CD412, Queens",46
66,"CD413, Queens",44
57,"CD414, Queens",29
69,"CD480, Queens",0
4,"CD481, Queens",0
38,"CD482, Queens",0
67,"CD483, Queens",0
23,"CD484, Queens",0
25,"CD501, Staten Island",75
34,"CD502, Staten Island",107
35,"CD503, Staten Island",124
12,"CD595, Staten Island",0
